Feature Set,Fold,Task,AUC,Optimal Threshold,Optimal Kappa,Kappa,Kappa @ 0.50,Balanced Accuracy,AUCPR,Sensitivity,Specificity,MCC,TP,TN,FP,FN,Total Actives Train,Total Inactives Train,Total Compounds Train,Total Actives Test,Total Inactives Test,Total Compounds Test,Scrambled Kappa,Scrambled Balanced Accuracy
CellCount,1,CHEMBL5291850,0.44642857142857145,0.4545454545454546,0.33333333333333337,0.08695652173913038,-0.0714285714285714,0.5446428571428572,0.3973772259486545,0.7142857142857143,0.375,0.09449111825230681,5,3,5,2,15,15,30,7,8,15,-0.0714285714285714,0.4642857142857143
CellCount,2,CHEMBL5291850,0.7678571428571428,0.32323232323232326,0.06666666666666665,0.0,0.4444444444444444,0.5,0.812190785405071,1.0,0.0,0.0,7,0,8,0,15,15,30,7,8,15,-0.41025641025641013,0.2857142857142857
CellCount,3,CHEMBL5291850,0.5714285714285714,0.494949494949495,0.3946188340807175,0.08695652173913038,0.08695652173913038,0.5446428571428572,0.6334731240981241,0.375,0.7142857142857143,0.09449111825230681,3,5,2,5,14,16,30,8,7,15,-0.09090909090909083,0.45535714285714285
CellProfiler,1,CHEMBL5291850,0.7321428571428571,0.5757575757575758,0.5333333333333333,0.21052631578947367,0.22413793103448265,0.6071428571428572,0.800244398458684,0.7142857142857143,0.5,0.21821789023599236,5,4,4,2,15,15,30,7,8,15,0.05405405405405406,0.5267857142857143
CellProfiler,2,CHEMBL5291850,0.9107142857142857,0.595959595959596,0.6,0.5871559633027523,0.5945945945945946,0.7857142857142857,0.9164965986394558,0.5714285714285714,1.0,0.6446583712203042,4,8,0,3,15,15,30,7,8,15,-0.19469026548672574,0.4017857142857143
CellProfiler,3,CHEMBL5291850,0.8392857142857142,0.4545454545454546,0.33628318584070793,0.5945945945945946,0.5945945945945946,0.7946428571428572,0.8853651556776556,0.875,0.7142857142857143,0.600099198148979,7,5,2,1,14,16,30,8,7,15,-0.17391304347826098,0.4107142857142857
CellCount,1,CHEMBL5291892,0.4464285714285714,0.5757575757575758,0.10892586989409991,0.0,0.0033840947546530664,0.5,0.19374188740054651,0.0,1.0,0.0,0,24,0,7,16,46,62,7,24,31,-0.00540540540540535,0.49702380952380953
CellCount,2,CHEMBL5291892,0.5,0.0,0.0,0.0,0.0,0.5,0.6290322580645161,1.0,0.0,0.0,8,0,23,0,15,47,62,8,23,31,0.0,0.5
CellCount,3,CHEMBL5291892,0.5,0.0,0.0,0.0,0.0,0.5,0.6290322580645161,1.0,0.0,0.0,8,0,23,0,15,47,62,8,23,31,0.0,0.5
CellProfiler,1,CHEMBL5291892,0.4523809523809524,0.393939393939394,0.17455621301775137,-0.05982905982905984,0.0,0.4791666666666667,0.18912132771155327,0.0,0.9583333333333334,-0.09860132971832693,0,23,1,7,16,46,62,7,24,31,0.0,0.5
