assay,best_C,val_auc,test_auc,split,N_labels_test
203,10.0,0.6759259259259259,0.6640271493212669,split1,149
204,1e-06,0.6785714285714286,0.5972222222222222,split1,39
205,1.0,0.8045454545454545,0.8864569083447331,split1,60
208,0.01,0.7857142857142857,0.6666666666666667,split1,15
209,0.01,0.8629667694415895,0.8511300020733983,split1,326
1,10.0,0.3095238095238096,0.4897959183673469,split2,28
2,1e-06,0.6428571428571429,0.6736842105263159,split2,24
3,1e-06,0.90625,0.5614035087719298,split2,22
4,1.0,0.56,0.5384615384615384,split2,18
5,1e-06,0.888888888888889,0.6333333333333334,split2,11
6,10.0,0.6666666666666666,0.3333333333333333,split2,18
7,1e-06,0.875,0.5,split2,8
8,1.0,0.6875,0.8125,split2,10
9,0.001,0.6500000000000001,0.6086956521739131,split2,25
10,0.1,0.5277777777777778,0.5,split2,23
11,10.0,0.6304347826086957,0.6015625,split2,36
12,1e-06,0.6015037593984962,0.5054945054945055,split2,41
13,1e-06,0.6111111111111112,0.9230769230769231,split2,15
14,1e-06,0.25,0.48,split2,10
15,1e-06,0.6,0.14285714285714285,split2,20
16,1e-06,0.8333333333333334,0.6363636363636364,split2,13
17,1.0,0.6153846153846154,0.7125,split2,21
18,1e-06,0.43999999999999995,0.3203125,split2,24
19,100.0,0.8333333333333334,0.4761904761904762,split2,10
20,1e-06,0.5111111111111111,0.48235294117647065,split2,22
21,1.0,0.56,0.5384615384615384,split2,18
22,1e-06,0.33333333333333337,0.5,split2,6
23,1.0,0.3166666666666667,0.5170068027210885,split2,28
24,1e-06,0.5803571428571429,0.4714285714285714,split2,27
