assay,best_C,val_auc,test_auc,split
192,1.0,0.7512953367875648,0.6083333333333334,split2
193,1.0,0.6919354838709677,0.5178197064989518,split2
194,1e-06,0.6031746031746031,0.6337209302325582,split2
196,1e-06,0.2857142857142857,0.7983193277310925,split2
197,1e-06,0.5,0.6,split2
198,1.0,0.8171428571428571,0.4902439024390243,split2
199,1e-06,0.8666666666666666,0.8774193548387097,split2
200,1e-06,0.75,0.875,split2
201,1e-06,0.3333333333333333,0.7064676616915423,split2
202,1e-06,0.5833333333333334,0.8345864661654135,split2
203,100.0,0.6192592592592593,0.5939887926642894,split2
204,0.1,0.484375,0.6789473684210526,split2
205,1e-06,0.6875,0.8626834381551363,split2
206,1e-06,0.9523809523809524,0.7878787878787878,split2
207,1e-06,1.0,0.41666666666666663,split2
208,1e-06,1.0,0.6218487394957983,split2
209,0.0001,0.815195884447962,0.7884243128145568,split2
1,1e-06,0.12121212121212122,0.6904761904761906,split3
2,10.0,0.5555555555555556,0.7454545454545454,split3
3,1e-06,0.25,0.6979166666666667,split3
4,0.01,0.5714285714285714,0.6442307692307692,split3
5,1e-06,0.638888888888889,0.5,split3
6,0.1,0.4166666666666667,0.6111111111111112,split3
7,1e-06,0.8,0.5,split3
8,1e-06,0.5,0.4,split3
9,1e-06,0.6,0.6805555555555556,split3
10,0.1,0.5714285714285714,0.7555555555555555,split3
11,1e-06,0.8157894736842105,0.8214285714285714,split3
12,1.0,0.484375,0.4029605263157895,split3
13,1e-06,1.0,0.9444444444444444,split3
14,1e-06,0.33333333333333337,0.11111111111111112,split3
15,1e-06,0.2857142857142857,0.738095238095238,split3
16,1e-06,1.0,0.8333333333333333,split3
17,1e-06,0.45833333333333337,0.6125,split3
18,1e-06,0.40740740740740744,0.6625000000000001,split3
19,1e-06,0.8571428571428571,0.8392857142857143,split3
20,1e-06,0.518796992481203,0.6434782608695653,split3
21,0.01,0.5714285714285714,0.6442307692307692,split3
22,1e-06,0.4444444444444445,0.24999999999999997,split3
23,1e-06,0.625,0.39215686274509803,split3
24,1e-06,0.65625,0.5227272727272727,split3
25,1e-06,0.6363636363636364,0.9285714285714286,split3
26,1e-06,0.75,0.6499999999999999,split3
27,0.1,0.5052631578947369,0.5551948051948051,split3
28,1e-06,0.5362318840579711,0.7866666666666667,split3
29,1e-06,0.6363636363636364,0.9285714285714286,split3
30,0.1,0.25,0.40476190476190477,split3
31,1e-06,0.5740740740740741,0.7590214067278287,split3
32,10.0,0.7044444444444445,0.7354862119013064,split3
33,1e-06,0.6872909698996655,0.5967986156175644,split3
34,1.0,0.7159833630421866,0.7306715063520872,split3
35,0.1,0.7621393384940183,0.7523584905660378,split3
36,1e-06,0.3888888888888889,0.2631578947368421,split3
37,1e-06,0.5681818181818181,0.7407407407407408,split3
39,1e-06,1.0,0.9166666666666667,split3
41,10.0,0.8,0.8260869565217391,split3
42,1e-06,0.9090909090909091,0.8875,split3
43,1e-06,0.8425925925925926,0.8900772430184195,split3
44,0.01,0.8322368421052632,0.847667638483965,split3
45,1e-06,0.3333333333333333,0.4666666666666667,split3
46,1.0,0.6666666666666667,0.5833333333333334,split3
